trial,score_metric,score,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,random_state,n_jobs,tree_method,objective,rank_bins,pearson,spearman,r2,mse,mean_ic,median_ic,mean_rank_ic,median_rank_ic,mean_sym_pearson,median_sym_pearson,mean_sym_spearman,median_sym_spearman
1,mean_rank_ic,0.04909562773413732,800,0.05,6,1.0,0.8,0.8,0.0,1.0,0.0,1,8,hist,reg,5,0.03271445118251116,0.06526861046033021,-0.014356317393175333,3.0164545154834125e-05,0.03839323549974792,0.04521967585936868,0.04909562773413732,0.05169952393525805,0.04518183661000338,0.04922621067685612,0.06792747525225776,0.06486083951001953
2,mean_rank_ic,0.045384157120566995,500,0.03,4,3.0,0.9,0.9,0.0,2.0,0.0,1,8,hist,reg,5,0.042608708911637976,0.05879503630091668,-8.715754911414741e-05,2.9740214267297596e-05,0.04243518810822031,0.046790617328687875,0.045384157120566995,0.043610764094259666,0.05134300089902498,0.05239867378445303,0.0625192142279754,0.06355239033640508
3,mean_rank_ic,0.04703217385267616,600,0.04,5,5.0,0.8,0.9,0.0,3.0,0.0,1,8,hist,reg,5,0.039568071320563704,0.06447245078262116,-0.004444222214348592,2.9869783011123985e-05,0.04179324577348091,0.04647135588439262,0.04703217385267616,0.048204882889601654,0.05049002560446698,0.05386462632104071,0.06780803265076024,0.06282635855534263
4,mean_rank_ic,0.044866934880164536,800,0.03,3,10.0,0.9,0.8,0.0,5.0,0.0,1,8,hist,reg,5,0.043869969295056876,0.058606559272248594,0.00027164593933159953,2.972954430463916e-05,0.04297432190112163,0.04802264819734055,0.044866934880164536,0.04648232901800288,0.05067268894600584,0.0540877168515395,0.06243451753250819,0.06052997586339244
5,mean_rank_ic,0.048923149746652295,1000,0.02,4,5.0,0.85,0.85,0.05,4.0,0.0,1,8,hist,reg,5,0.04667572412295383,0.06322298510579556,-3.099917903948146e-05,2.9738544250893206e-05,0.0461373514472544,0.04681835611499789,0.048923149746652295,0.053106833679934226,0.053521590035912475,0.056835904427556996,0.06638970061026063,0.06214681315514271
6,mean_rank_ic,-inf,400,0.06,5,2.0,0.8,0.8,0.0,2.0,0.05,1,8,hist,reg,5,,,-4.9114965315677495e-05,2.9739082971305134e-05,,,,,,,,
7,mean_rank_ic,0.04699860649625685,700,0.05,3,8.0,0.9,0.75,0.05,5.0,0.0,1,8,hist,reg,5,0.04679653449182438,0.061477980818860606,-0.00012633910776282953,2.9741379433694088e-05,0.043452616439307944,0.042489706995988974,0.04699860649625685,0.050904098667038364,0.05287070297408402,0.05887700825667783,0.06470029137292892,0.05994062632000481
8,mean_rank_ic,0.045051918770271995,500,0.08,2,10.0,0.95,0.9,0.1,6.0,0.0,1,8,hist,reg,5,0.04874137733371621,0.05776969105402207,0.0014243293258582312,2.969526624133349e-05,0.04260908141452126,0.04630759498424854,0.045051918770271995,0.05094017094017094,0.05241945534565047,0.06269884841442044,0.060941317074267226,0.060906523619571856
9,mean_rank_ic,-inf,800,0.04,4,6.0,0.75,0.75,0.1,5.0,0.05,1,8,hist,reg,5,,,-4.7617876778316415e-05,2.9739038451451497e-05,,,,,,,,
10,mean_rank_ic,-inf,600,0.03,6,3.0,0.7,0.7,0.0,2.0,0.1,1,8,hist,reg,5,,,-4.9438631172238345e-05,2.973909259635816e-05,,,,,,,,
11,mean_rank_ic,0.04980732272902538,1000,0.015,5,8.0,0.85,0.8,0.1,8.0,0.0,1,8,hist,reg,5,0.047924112053601094,0.06580422587202947,-6.336462128331277e-06,2.9737810840330124e-05,0.04631310257142241,0.050217355614171566,0.04980732272902538,0.05312081728649112,0.05526156796390485,0.056207963401622554,0.06842290698478175,0.06379225855415746
12,mean_rank_ic,-inf,300,0.1,3,6.0,0.8,0.8,0.05,4.0,0.05,1,8,hist,reg,5,,,-5.078414260406561e-05,2.973913260866907e-05,,,,,,,,
